,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,SBSW,Sibanye Stillwater Limited,3.20B,-0.88%,7364779,8.13B
87,IOSP,Innospec Inc.,3.05B,-0.49%,347609,1.95B
88,OR,Osisko Gold Royalties Ltd,2.97B,0.63%,1382810,185.95M
89,SXT,Sensient Technologies Corporation,2.92B,1.49%,159062,1.46B
90,MEOH,Methanex Corporation,2.92B,0.82%,133051,3.72B
91,CSTM,Constellium SE,2.91B,-0.05%,417738,8.04B
92,HCC,"Warrior Met Coal, Inc.",2.81B,1.38%,1237655,1.68B
93,TFPM,Triple Flag Precious Metals Corp.,2.74B,-0.67%,190707,204.02M
94,HL,Hecla Mining Company,2.73B,0.93%,6321476,720.23M
95,MTRN,Materion Corporation,2.67B,-0.30%,101718,1.67B
96,EGO,Eldorado Gold Corporation,2.64B,2.04%,2559223,1.01B
97,TROX,Tronox Holdings plc,2.54B,-0.55%,949877,2.85B
98,SLVM,Sylvamo Corporation,2.50B,-6.57%,826472,3.72B
99,HBM,Hudbay Minerals Inc.,2.43B,2.97%,3300221,1.69B
100,MTX,Minerals Technologies Inc.,2.34B,0.99%,109317,2.17B
101,MP,MP Materials Corp.,2.30B,0.65%,4447103,253.45M
102,TGLS,Tecnoglass Inc.,2.15B,0.75%,295499,833.27M
103,SCL,Stepan Company,1.95B,1.49%,84403,2.33B
104,ERO,Ero Copper Corp.,1.88B,4.44%,464568,427.48M
105,EQX,Equinox Gold Corp.,1.69B,4.62%,2985359,1.09B
106,USLM,"United States Lime & Minerals, Inc.",1.66B,-0.92%,79080,281.33M
107,NGVT,Ingevity Corporation,1.64B,2.07%,181849,1.69B
108,AG,First Majestic Silver Corp.,1.62B,4.44%,9109901,573.80M
109,HWKN,"Hawkins, Inc.",1.59B,2.26%,1130167,924.29M
110,SGML,Sigma Lithium Corporation,1.56B,-9.19%,2617786,129.93M
111,IAG,IAMGOLD Corporation,1.52B,0.33%,9513495,987.10M
112,SAND,Sandstorm Gold Ltd.,1.51B,2.86%,2837102,179.64M
113,WS,"Worthington Steel, Inc.",1.40B,-0.69%,235064,-
114,OEC,Orion Engineered Carbons S.A.,1.32B,1.70%,537308,1.89B
115,GPRE,Green Plains Inc.,1.30B,0.25%,1344557,3.30B
