,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
82,PRMW,Primo Water Corporation,2.78B,-0.40%,1312511,1.77B
83,GO,Grocery Outlet Holding Corp.,2.66B,0.45%,2198781,3.97B
84,CENT,Central Garden & Pet Company,2.65B,0.86%,344699,3.32B
85,LRN,"Stride, Inc.",2.65B,-0.26%,445229,1.94B
86,CENTA,Central Garden & Pet Company,2.64B,-0.90%,622177,3.32B
87,AKO.B,Embotelladora Andina S.A.,2.59B,-0.64%,3237,3.12B
88,SPB,"Spectrum Brands Holdings, Inc.",2.51B,-0.23%,981228,2.90B
89,STRA,"Strategic Education, Inc.",2.49B,0.49%,308440,1.13B
90,PSMT,"PriceSmart, Inc.",2.46B,-0.70%,252003,4.52B
91,TBBB,BBB Foods Inc.,2.44B,-0.23%,119848,1.95B
92,AKO.A,Embotelladora Andina S.A.,2.28B,-0.55%,460,3.12B
93,TR,"Tootsie Roll Industries, Inc.",2.25B,0.44%,144418,769.37M
94,CCU,Compania Cervecerias Unidas S.A.,2.23B,0.17%,71760,3.19B
95,COUR,"Coursera, Inc.",2.23B,-1.94%,1457125,635.76M
96,LAUR,"Laureate Education, Inc.",2.16B,0.88%,1122621,1.48B
97,THS,"TreeHouse Foods, Inc.",2.00B,-0.68%,645443,3.43B
98,DNUT,"Krispy Kreme, Inc.",2.00B,0.08%,1087595,1.69B
99,GOTU,Gaotu Techedu Inc.,1.99B,-0.90%,1880705,417.60M
100,AFYA,Afya Limited,1.94B,6.41%,508424,590.54M
101,ATGE,Adtalem Global Education Inc.,1.92B,0.86%,379505,1.50B
102,EPC,Edgewell Personal Care Company,1.86B,0.73%,295833,2.27B
103,MGPI,"MGP Ingredients, Inc.",1.85B,1.08%,205512,836.52M
104,ANDE,"The Andersons, Inc.",1.82B,0.24%,816625,14.75B
105,WMK,"Weis Markets, Inc.",1.73B,1.85%,80504,4.70B
106,UDMY,"Udemy, Inc.",1.73B,0.27%,1262121,728.94M
107,VGR,Vector Group Ltd.,1.70B,-0.28%,866644,1.42B
108,CHEF,"The Chefs' Warehouse, Inc.",1.50B,-0.24%,548456,3.43B
109,UTZ,"Utz Brands, Inc.",1.48B,1.45%,1296993,1.44B
110,COCO,"The Vita Coco Company, Inc.",1.44B,-0.67%,1690599,493.61M
111,IMKTA,"Ingles Markets, Incorporated",1.42B,1.16%,185913,5.88B
112,UVV,Universal Corporation,1.25B,1.74%,822796,2.67B
113,JBSS,"Sanfilippo (John B.) & Son, Inc",1.25B,3.33%,266296,998.08M
114,FDP,Fresh Del Monte Produce Inc.,1.19B,2.60%,1027610,4.32B
115,KLG,WK Kellogg Co,1.17B,4.84%,2470463,2.76B
116,PRDO,Perdoceo Education Corporation,1.16B,-0.28%,2700877,710.00M
117,DOLE,Dole plc,1.10B,2.07%,402348,8.25B
118,AGRO,Adecoagro S.A.,1.06B,-2.81%,1049962,1.30B
119,NAPA,"The Duckhorn Portfolio, Inc.",1.04B,-1.09%,1129726,396.89M
120,BRCC,BRC Inc.,1.01B,1.30%,733884,395.62M
121,USNA,"USANA Health Sciences, Inc.",964.14M,2.27%,139394,921.01M
122,VITL,"Vital Farms, Inc.",901.95M,-0.60%,757330,471.86M
123,HLF,Herbalife Nutrition Ltd.,900.08M,-0.67%,1101543,5.06B
124,WEST,"Westrock Coffee Company, LLC",869.94M,-2.83%,337526,864.71M
125,AVO,"Mission Produce, Inc.",855.12M,2.12%,601387,999.10M
126,BGS,"B&G Foods, Inc.",845.20M,-3.33%,2131966,2.06B
127,CHGG,"Chegg, Inc.",820.50M,1.27%,1180516,716.30M
128,STKL,SunOpta Inc.,806.45M,0.14%,632349,630.30M
129,HAIN,"The Hain Celestial Group, Inc.",786.93M,-1.60%,1545635,1.78B
130,UTI,"Universal Technical Institute, Inc.",780.19M,-0.48%,1241349,662.10M
131,EWCZ,"European Wax Center, Inc.",746.27M,3.42%,704864,221.02M
132,UNFI,"United Natural Foods, Inc.",710.86M,2.93%,683257,30.25B
133,SPTN,SpartanNash Company,688.70M,1.83%,604039,9.73B
134,NUS,"Nu Skin Enterprises, Inc.",654.83M,3.27%,4158750,1.97B
135,OTLY,Oatly Group AB,588.40M,-2.75%,1969783,783.35M
136,ISPR,Ispire Technology Inc.,557.99M,13.09%,206474,141.32M
137,BYND,"Beyond Meat, Inc.",549.76M,3.28%,2597412,343.38M
138,VTRU,Vitru Limited,530.82M,11.31%,7850,377.63M
139,CVGW,"Calavo Growers, Inc.",513.72M,-1.23%,264170,873.35M
140,DAO,"Youdao, Inc.",499.34M,-5.19%,140649,760.11M
141,TPB,"Turning Point Brands, Inc.",483.79M,-,95941,405.39M
142,LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,476.62M,-0.74%,13783,277.76M
143,SKIN,The Beauty Health Company,445.57M,-5.50%,2895078,397.99M
