,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,NXE,NexGen Energy Ltd.,4.11B,3.48%,9053348,-
87,PAGP,"Plains GP Holdings, L.P.",4.07B,1.16%,1102300,48.71B
88,HP,"Helmerich & Payne, Inc.",3.97B,0.05%,1058781,2.83B
89,VIST,"Vista Energy, SAB de CV",3.89B,3.61%,594948,1.17B
90,NOG,"Northern Oil and Gas, Inc.",3.82B,1.17%,993004,2.17B
91,STNG,Scorpio Tankers Inc.,3.79B,-0.75%,950525,1.34B
92,CRC,California Resources Corporation,3.77B,-0.07%,1484777,2.80B
93,ERF,Enerplus Corporation,3.72B,0.83%,1693899,1.69B
94,CVI,"CVR Energy, Inc.",3.61B,4.30%,884949,9.25B
95,SDRL,Seadrill Limited,3.50B,0.41%,801871,1.50B
96,LBRT,Liberty Energy Inc.,3.39B,1.34%,3549252,4.75B
97,EURN,Euronav NV,3.38B,-8.01%,2940964,1.63B
98,CNX,CNX Resources Corporation,3.27B,-0.97%,2943285,3.43B
99,BSM,"Black Stone Minerals, L.P.",3.27B,0.39%,582975,592.22M
100,BTU,Peabody Energy Corporation,3.17B,-3.80%,11369293,4.95B
101,TRMD,TORM plc,3.17B,-1.51%,545671,1.52B
102,WHD,"Cactus, Inc.",3.12B,-1.10%,527208,1.10B
103,NS,NuStar Energy L.P.,2.96B,1.43%,332120,1.63B
104,AROC,"Archrock, Inc.",2.93B,0.16%,1010881,990.34M
105,ARCH,"Arch Resources, Inc.",2.92B,-0.64%,998013,3.15B
106,USAC,"USA Compression Partners, LP",2.86B,1.06%,479423,846.18M
107,GPOR,Gulfport Energy Corporation,2.77B,1.60%,257590,1.05B
108,BTE,Baytex Energy Corp.,2.74B,1.21%,8267264,2.04B
109,KOS,Kosmos Energy Ltd.,2.74B,-1.89%,5277418,1.70B
110,INSW,"International Seaways, Inc.",2.55B,-0.89%,438110,1.07B
111,UEC,Uranium Energy Corp.,2.54B,-1.41%,12155532,59.39M
112,ARLP,"Alliance Resource Partners, L.P.",2.53B,0.56%,420197,2.57B
113,GLNG,Golar LNG Limited,2.46B,-0.42%,2129842,267.74M
114,TGS,Transportadora de Gas del Sur S.A.,2.43B,4.23%,225608,932.68M
115,CEIX,CONSOL Energy Inc.,2.40B,-0.45%,772170,2.57B
116,TALO,Talos Energy Inc.,2.36B,0.23%,3692033,1.46B
117,CPE,Callon Petroleum Company,2.23B,-0.89%,1346041,2.34B
118,CRK,"Comstock Resources, Inc.",2.23B,-2.44%,5207483,1.57B
119,PARR,"Par Pacific Holdings, Inc.",2.21B,1.64%,1696728,8.23B
120,OII,"Oceaneering International, Inc.",2.20B,2.88%,862166,2.42B
121,AESI,Atlas Energy Solutions Inc.,2.19B,-0.32%,4246198,613.96M
122,KNTK,Kinetik Holdings Inc.,2.19B,2.17%,1315075,1.26B
123,XPRO,Expro Group Holdings N.V.,2.04B,-0.38%,1311762,1.51B
124,HPK,"HighPeak Energy, Inc.",1.97B,0.85%,519664,1.11B
125,CRGY,Crescent Energy Company,1.94B,1.37%,1234247,2.38B
126,DK,"Delek US Holdings, Inc.",1.89B,6.61%,1775109,16.92B
127,TNK,Teekay Tankers Ltd.,1.87B,1.16%,629389,1.36B
128,DKL,"Delek Logistics Partners, LP",1.87B,1.00%,86926,1.02B
129,VTLE,"Vital Energy, Inc.",1.86B,0.49%,867321,1.55B
130,VET,Vermilion Energy Inc.,1.84B,-0.79%,1335467,1.51B
131,KGS,"Kodiak Gas Services, Inc.",1.82B,-0.80%,256189,850.38M
132,DHT,"DHT Holdings, Inc.",1.81B,0.45%,2163878,560.56M
133,BORR,Borr Drilling Limited,1.76B,0.15%,2374004,771.60M
134,MNR,Mach Natural Resources LP,1.73B,-0.68%,68020,817.06M
135,DNN,Denison Mines Corp.,1.68B,5.03%,18231483,1.39M
136,RES,"RPC, Inc.",1.64B,2.14%,1753477,1.62B
137,KRP,"Kimbell Royalty Partners, LP",1.58B,0.99%,265077,294.07M
138,GLP,Global Partners LP,1.55B,0.55%,249223,16.49B
139,DNOW,NOW Inc.,1.53B,-0.21%,2272469,2.32B
140,LPG,Dorian LPG Ltd.,1.53B,0.86%,833946,552.96M
141,HLX,"Helix Energy Solutions Group, Inc.",1.51B,1.33%,1386388,1.29B
142,WKC,World Kinect Corporation,1.49B,-0.36%,1396072,47.71B
143,NEXT,NextDecade Corporation,1.39B,2.07%,2360339,-
144,FLNG,FLEX LNG Ltd.,1.37B,-0.63%,274379,371.02M
145,DO,"Diamond Offshore Drilling, Inc.",1.32B,1.48%,1821986,1.06B
146,DMLP,"Dorchester Minerals, L.P.",1.29B,0.49%,40246,163.80M
147,GEL,"Genesis Energy, L.P.",1.28B,2.14%,480976,3.18B
148,ACDC,ProFrac Holding Corp.,1.26B,1.67%,1489865,2.63B
149,NRP,Natural Resource Partners L.P.,1.15B,-0.87%,48023,370.01M
150,CLMT,"Calumet Specialty Products Partners, L.P.",1.14B,-0.04%,168488,4.18B
151,NVGS,Navigator Holdings Ltd.,1.12B,-1.67%,144790,550.74M
152,WTTR,"Select Energy Services, Inc.",1.06B,0.22%,1900341,1.59B
153,MRC,MRC Global Inc.,1.05B,2.38%,433591,3.41B
154,UUUU,Energy Fuels Inc.,987.96M,2.21%,2893154,37.93M
155,SLCA,"U.S. Silica Holdings, Inc.",983.12M,3.45%,1241760,1.55B
156,PDS,Precision Drilling Corporation,929.67M,0.78%,40052,1.46B
157,SBR,Sabine Royalty Trust,898.52M,0.02%,28908,93.01M
158,SBOW,"SilverBow Resources, Inc.",862.57M,1.53%,472668,652.36M
159,NBR,Nabors Industries Ltd.,848.70M,1.19%,196940,3.05B
160,CAPL,CrossAmerica Partners LP,845.70M,1.17%,30666,4.39B
161,PUMP,ProPetro Holding Corp.,828.27M,2.26%,2157463,1.63B
162,DRQ,"Dril-Quip, Inc.",824.56M,1.83%,389460,424.06M
163,NGL,NGL Energy Partners LP,793.75M,0.50%,640528,7.38B
164,EFXT,Enerflex Ltd.,773.85M,-1.95%,121873,2.38B
165,CLB,Core Laboratories N.V.,769.50M,2.68%,532572,509.79M
166,TELL,Tellurian Inc.,751.10M,4.50%,59110660,166.13M
