,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
73,WRK,WestRock Company,12.49B,1.40%,2268041,20.01B
74,HTHT,H World Group Limited,12.46B,1.06%,3218248,2.75B
75,NIO,NIO Inc.,12.19B,-,33467876,7.84B
76,RL,Ralph Lauren Corporation,11.61B,-0.36%,797874,6.60B
77,CASY,"Casey's General Stores, Inc.",11.31B,2.66%,624979,14.59B
78,FIVE,"Five Below, Inc.",11.13B,0.01%,895575,3.34B
79,WYNN,"Wynn Resorts, Limited",11.11B,-1.89%,4228216,6.53B
80,TPR,"Tapestry, Inc.",10.86B,-1.08%,10333237,6.73B
81,SCI,Service Corporation International,10.58B,-0.34%,826817,4.10B
82,RIVN,"Rivian Automotive, Inc.",10.45B,3.27%,48057724,4.43B
83,ONON,On Holding AG,10.42B,1.68%,4023640,2.13B
84,BBWI,"Bath & Body Works, Inc.",10.37B,-0.59%,1916527,7.43B
85,PAG,"Penske Automotive Group, Inc.",10.27B,1.03%,139370,29.53B
86,WING,Wingstop Inc.,10.23B,-0.73%,761553,460.06M
87,TXRH,"Texas Roadhouse, Inc.",10.18B,-0.44%,821488,4.63B
88,ALV,"Autoliv, Inc.",10.03B,-1.12%,395712,10.48B
89,CCK,"Crown Holdings, Inc.",9.39B,0.60%,1118010,12.01B
90,VIPS,Vipshop Holdings Limited,9.34B,-0.29%,2336885,15.92B
91,SKX,"Skechers U.S.A., Inc.",9.34B,-0.83%,1106309,8.00B
92,TPX,"Tempur Sealy International, Inc.",9.20B,-2.68%,2244190,4.93B
93,XPEV,XPeng Inc.,9.12B,2.66%,8529300,3.13B
94,LNW,"Light & Wonder, Inc.",9.04B,-0.79%,990775,2.90B
95,BIRK,Birkenstock Holding plc,8.99B,1.42%,297618,1.68B
96,MUSA,Murphy USA Inc.,8.78B,2.07%,157955,21.53B
97,GPS,"The Gap, Inc.",8.75B,2.57%,15056404,14.83B
98,CHDN,Churchill Downs Incorporated,8.65B,1.38%,960514,2.46B
99,CZR,"Caesars Entertainment, Inc.",8.47B,-1.88%,5442157,11.53B
100,GPK,Graphic Packaging Holding Company,8.46B,-0.54%,2573940,9.43B
101,GNTX,Gentex Corporation,8.32B,-0.61%,2125448,2.30B
102,MTN,"Vail Resorts, Inc.",8.31B,-0.95%,519516,2.84B
103,NCLH,Norwegian Cruise Line Holdings Ltd.,8.26B,0.36%,6604269,8.55B
104,AS,"Amer Sports, Inc.",8.13B,-,461434,4.37B
105,SN,"SharkNinja, Inc.",8.07B,0.73%,518229,4.25B
106,LEA,Lear Corporation,8.00B,0.06%,541183,23.47B
107,ETSY,"Etsy, Inc.",7.85B,-1.72%,6711699,2.75B
108,PVH,PVH Corp.,7.81B,-0.27%,903920,9.22B
109,LAD,"Lithia Motors, Inc.",7.76B,-0.20%,165088,31.04B
110,CROX,"Crocs, Inc.",7.75B,1.73%,1485886,3.96B
111,MHK,"Mohawk Industries, Inc.",7.51B,0.75%,477625,11.14B
112,CHWY,"Chewy, Inc.",7.50B,0.87%,5375390,11.01B
113,HAS,"Hasbro, Inc.",7.40B,0.64%,3372874,5.00B
114,BWA,BorgWarner Inc.,7.38B,0.28%,2791857,14.20B
115,W,Wayfair Inc.,7.34B,-2.60%,2346291,12.00B
116,CAVA,"CAVA Group, Inc.",7.31B,0.72%,1490012,728.70M
117,LEVI,Levi Strauss & Co.,7.24B,-0.71%,837741,6.18B
118,BROS,Dutch Bros Inc.,7.16B,0.47%,936345,965.78M
119,MMYT,MakeMyTrip Limited,6.98B,0.27%,1091973,728.16M
120,DDS,"Dillard's, Inc.",6.93B,-2.59%,102440,6.87B
121,BERY,"Berry Global Group, Inc.",6.92B,-0.42%,1996109,12.46B
122,MAT,"Mattel, Inc.",6.77B,-0.52%,9821235,5.44B
123,ALSN,"Allison Transmission Holdings, Inc.",6.74B,0.37%,363300,3.04B
124,AN,"AutoNation, Inc.",6.63B,2.49%,1150048,26.95B
125,BFAM,Bright Horizons Family Solutions Inc.,6.58B,-0.98%,196371,2.42B
126,HRB,"H&R Block, Inc.",6.52B,0.26%,910248,3.49B
127,CART,Maplebear Inc.,6.47B,0.17%,4485394,3.04B
