,Symbol,Company Name,Market Cap,% Change,Volume,Revenue
86,UAL,"United Airlines Holdings, Inc.",14.31B,1.80%,8751957,53.72B
87,XPO,"XPO Logistics, Inc.",14.24B,-0.62%,685197,7.74B
88,LECO,"Lincoln Electric Holdings, Inc.",14.12B,0.66%,611365,4.19B
89,OC,Owens Corning,13.90B,1.43%,548667,9.68B
90,RBA,RB Global Inc,13.77B,-0.80%,696518,3.68B
91,SWK,"Stanley Black & Decker, Inc.",13.56B,-1.61%,1371794,15.78B
92,PNR,Pentair plc,13.33B,0.02%,784382,4.10B
93,BLD,TopBuild Corp.,13.03B,0.21%,311600,5.19B
94,UHAL.B,U-Haul Holding Company,12.84B,-0.52%,673437,5.72B
95,AOS,A. O. Smith Corporation,12.81B,0.54%,1095501,3.85B
96,TFII,TFI International Inc.,12.77B,-0.03%,191961,7.52B
97,UHAL,U-Haul Holding Company,12.73B,-0.93%,54177,5.72B
98,WMS,"Advanced Drainage Systems, Inc.",12.67B,0.60%,264257,2.84B
99,GFL,GFL Environmental Inc.,12.54B,-1.08%,1309224,5.65B
100,ACM,AECOM,12.46B,0.80%,710324,14.90B
101,NVT,nVent Electric plc,11.55B,-0.46%,1587503,3.26B
102,HII,"Huntington Ingalls Industries, Inc.",11.44B,0.75%,246839,11.45B
103,ALLE,Allegion plc,11.42B,0.25%,501318,3.65B
104,RRX,Regal Rexnord Corporation,11.37B,0.95%,242916,6.25B
105,FIX,"Comfort Systems USA, Inc.",11.01B,2.03%,361136,5.21B
106,ITT,ITT Inc.,10.43B,0.08%,158049,3.28B
107,TREX,"Trex Company, Inc.",10.25B,-0.46%,1268907,1.09B
108,CLH,"Clean Harbors, Inc.",10.17B,-0.38%,217788,5.41B
109,FBIN,"Fortune Brands Innovations, Inc.",10.06B,1.15%,809055,4.63B
110,CNM,"Core & Main, Inc.",9.91B,1.27%,2903751,6.64B
111,STN,Stantec Inc.,9.68B,-0.08%,93634,3.81B
112,TTEK,"Tetra Tech, Inc.",9.56B,-0.55%,569568,4.86B
113,TTC,The Toro Company,9.37B,1.48%,617691,4.41B
114,APG,APi Group Corporation,9.32B,0.50%,1184129,6.93B
115,CW,Curtiss-Wright Corporation,9.28B,0.79%,310452,2.85B
116,ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",9.22B,-0.97%,30833,1.30B
117,AAL,American Airlines Group Inc.,9.16B,-0.21%,20688564,52.79B
118,BWXT,"BWX Technologies, Inc.",9.09B,0.10%,677984,2.50B
119,ESLT,Elbit Systems Ltd.,9.00B,0.68%,43144,5.86B
120,WWD,"Woodward, Inc.",8.93B,2.05%,780305,3.08B
121,DCI,"Donaldson Company, Inc.",8.87B,1.71%,490168,3.48B
122,CHRW,"C.H. Robinson Worldwide, Inc.",8.76B,-1.28%,9428475,17.60B
123,KNX,Knight-Swift Transportation Holdings Inc.,8.74B,-0.92%,1099050,7.14B
124,AGCO,AGCO Corporation,8.69B,0.38%,522938,14.41B
125,WSC,WillScot Mobile Mini Holdings Corp.,8.68B,1.17%,1802200,2.36B
126,BZ,Kanzhun Limited,8.66B,-1.99%,4885468,839.50M
127,PSN,Parsons Corporation,8.63B,0.21%,411339,5.44B
128,SSD,"Simpson Manufacturing Co., Inc.",8.38B,0.30%,529034,2.21B
129,RHI,Robert Half International Inc.,8.30B,0.11%,2522116,6.39B
130,MIDD,The Middleby Corporation,8.23B,-0.07%,565788,4.04B
131,ARMK,Aramark,8.16B,-2.08%,1649005,18.66B
132,WCC,"WESCO International, Inc.",8.16B,0.38%,678578,22.39B
133,KBR,"KBR, Inc.",8.14B,-0.59%,912395,6.96B
134,AYI,"Acuity Brands, Inc.",7.97B,0.72%,162729,3.89B
135,SITE,"SiteOne Landscape Supply, Inc.",7.67B,0.83%,284366,4.30B
136,RBC,RBC Bearings Incorporated,7.66B,0.88%,113301,1.54B
137,OSK,Oshkosh Corporation,7.55B,0.47%,434949,9.66B
138,PAC,"Grupo Aeroportuario del Pacífico, SAB de CV",7.54B,-0.03%,72873,1.41B
139,IEP,Icahn Enterprises L.P.,7.50B,0.75%,715660,10.85B
140,AIT,"Applied Industrial Technologies, Inc.",7.33B,1.30%,555861,4.46B
141,FCN,"FTI Consulting, Inc.",7.31B,0.79%,180592,3.49B
142,MSA,MSA Safety Incorporated,7.20B,-0.31%,128242,1.79B
143,AZEK,The AZEK Company Inc.,6.93B,-0.77%,947146,1.39B
144,IBP,"Installed Building Products, Inc.",6.80B,-0.21%,234485,2.78B
145,GNRC,Generac Holdings Inc.,6.74B,-0.76%,681701,4.02B
